taxon	reads
47770	714052
165179	62217
821	50390
9606	46925
1280	20804
46503	20690
823	15688
28116	14134
729	12653
28037	10794
454155	9120
853	8346
328814	7186
78331	6851
2714355	5811
2755405	5510
338188	4895
29382	4434
39491	4382
328813	4207
371601	3946
2763672	3672
674529	3669
2528203	3534
46506	3514
2792859	3500
726	3191
292800	3189
2742601	3172
1303	2861
1587	2780
1313	2756
818	2620
28118	2609
2929494	2484
820	2473
2929488	2408
1547448	2395
43768	2247
39485	2228
1470347	2166
626932	2133
817	2086
357276	2027
2929492	1953
2109687	1895
727	1877
2929493	1793
1379	1790
137732	1500
2585119	1374
2093857	1218
544580	1209
1433513	1116
461393	1091
2108523	1071
2518605	1058
2819619	1056
29466	1044
28132	1007
454154	982
2785531	952
411483	886
2610895	882
1604	855
2718	846
166486	811
46228	760
712310	743
1472416	734
556259	694
387090	668
33039	651
267818	613
210	591
2993430	578
1177574	571
267212	548
1305	546
74426	544
1550024	533
2585118	527
2598453	524
40545	516
824	505
257758	488
1309	482
652716	475
2763022	473
487173	467
3030639	467
1633	464
2478954	459
410072	456
1660	443
2847299	442
2494234	438
2929495	399
1018	391
28135	388
2929489	384
712116	381
157687	376
301301	376
39496	370
40520	369
88431	366
214856	352
199	347
28111	337
2682456	324
47678	322
1655	319
178339	313
2714358	311
2789425	305
2929490	297
2929491	295
39777	294
169435	289
1747	276
39486	273
76857	271
162156	269
1288121	266
1304	264
2955579	262
28131	259
1302	255
1472417	254
1318	247
1297617	237
712435	232
2951805	228
2650158	228
43675	219
291644	219
28901	216
418240	211
712122	203
2714353	202
1982626	201
2682455	198
505	196
2584944	194
423477	193
2650157	191
113107	189
28133	188
2663009	184
2133944	183
387661	180
490	177
376805	176
2955510	174
33038	174
208479	171
3059028	168
1796613	167
470565	162
2162637	159
2715212	157
214851	154
2161821	143
712710	141
657323	141
1598	139
2582419	135
39778	135
2734150	132
2955499	132
3038077	130
246787	130
2479767	130
2975349	129
512298	129
1902136	128
3077584	127
1750	124
47671	120
1496	120
411486	117
46124	115
2955511	112
712633	112
1019	111
2025876	108
52227	107
1774	106
116085	105
837	105
2899133	104
28449	103
69823	103
28125	103
155615	102
28129	102
712624	101
291645	100
712471	100
45851	98
1382	98
216816	96
2763056	96
29347	94
649756	94
39488	91
1261635	91
1680	90
45634	89
28137	89
2972761	88
154046	88
2759692	86
333367	86
496	86
290053	85
538949	85
1596	85
76859	81
2763062	81
2081702	79
3079303	79
76123	79
2576376	78
751585	76
544645	74
2610896	74
100886	73
1531	73
2820817	72
2956060	72
562	72
2748316	72
147206	71
28119	69
28127	69
626937	69
712623	69
712362	69
33007	68
329854	68
2789424	68
102148	68
1705617	67
1502	67
735	66
89014	66
29348	66
2972784	66
2093856	66
712357	66
1852381	66
397865	65
732	65
706438	65
589436	65
1311	64
1655645	63
2012495	63
2086584	60
2685834	60
3098076	60
28113	60
539	59
68892	59
1532	57
1965590	57
155866	56
305719	56
1529	56
53443	55
554406	55
28124	55
477666	54
2364787	54
1597	54
33959	54
488	53
2937774	53
2490855	52
1656	52
495	51
3059030	51
1338	50
328812	50
1307	50
1316593	50
1528099	50
2518971	49
2913616	49
1522	49
839	49
33033	48
2913614	48
2866573	46
1328	46
29523	46
2955498	46
1871021	46
2780922	45
712538	44
2691580	44
1852377	44
1573823	44
249188	43
317	43
589437	43
29391	43
114527	42
851	42
1579	42
1308	42
2913621	42
77095	42
52773	41
1396	40
84135	40
2708117	39
483	39
867595	39
860	39
2801997	39
3117552	39
2866570	38
2954513	38
3079302	38
1916	37
2955711	37
1343	36
2913620	36
1161942	36
2047	36
1261634	35
2559073	35
747	35
1156431	35
109328	34
713030	33
712150	33
1351	32
3098075	32
28026	32
28128	32
2975324	30
84112	30
484	30
33043	29
1491	29
1260	29
1796616	29
739	29
2763667	29
573	28
1099853	28
282402	28
1613	28
1547	27
1314	26
1659	26
248315	26
2572088	26
1501392	26
3028070	26
33053	26
204	26
907	25
2763669	25
649161	25
172042	25
684066	25
2972764	24
487	24
2777577	24
617123	24
157691	24
1584	24
287	24
168384	24
1017	23
1218493	23
3077723	23
3025672	23
2877527	22
1702238	22
1042156	22
2093824	22
301	21
197614	21
157688	21
197575	21
2754044	21
59893	21
2662363	21
28112	21
2094151	20
53442	19
393921	19
1839799	19
2763670	19
1884263	19
831	19
655307	19
1217282	19
1583098	18
239935	18
1322	18
244734	18
1056807	18
2495645	18
1759399	18
38304	18
2530390	18
1600	17
1848904	17
2606626	17
33025	17
508451	17
94869	17
1979527	17
36874	17
2734146	17
712528	17
3030016	16
187327	16
3118470	16
2903880	16
303	16
712361	16
2841264	16
2955712	16
46125	15
1334	15
84030	15
750	15
2866628	15
1160721	15
1264	15
1520	15
1639	14
1392	14
2320868	14
641148	14
1912897	14
1796635	14
34073	14
3003623	14
89153	14
2892442	14
162426	14
1310165	14
1796646	13
1243007	13
1796620	13
1352	13
905	13
3030017	13
28446	13
285	13
3070997	13
28123	13
2564099	13
195	12
2972775	12
28450	12
598660	12
45254	12
39950	12
33040	12
217203	12
