taxon	reads
573	91887
9606	48437
28132	10351
1177574	6623
470565	5636
562	4068
821	3584
1463165	2723
39777	2611
2682456	2384
28116	2308
729	2134
244366	2074
1304	1931
2682455	1328
1280	1286
43675	1160
1318	983
423477	980
39778	926
199	905
1313	811
46124	723
2954513	714
371601	674
29466	664
28037	625
2847299	603
735	565
28901	521
28131	392
2675716	341
2489010	334
712633	304
1773	294
2026240	287
1308	284
3077584	281
548	276
1303	265
78331	250
114527	247
1134687	237
726	218
3098076	217
1660	207
1292	198
2610896	191
571	158
2420310	148
623	121
1311	87
2897413	59
622	58
2058152	58
2153354	57
158836	57
1259973	56
621	53
2986524	50
208962	47
54736	47
546	26
632	25
564	25
3081203	21
2975324	19
2763022	19
1812935	18
54291	18
208224	17
2044467	16
1499973	16
2650158	16
2267618	15
624	15
2587529	14
2742654	14
556259	13
1334	12
287	12
61645	12
2873296	12
47678	11
3111629	11
2834819	10
299767	10
83655	10
357276	10
818	9
539813	9
57706	9
1839799	8
2954545	8
582	8
985002	7
575	7
550	7
1343	7
1796613	7
2492396	7
338188	7
28137	7
158822	7
881260	6
684066	6
563	6
61648	6
1163710	6
584	6
589437	6
1905288	6
2724468	5
61647	5
1505757	5
2715212	5
182337	5
549	5
308354	5
1654388	5
727	5
1920114	5
2681309	5
28141	5
2742667	5
61646	5
817	4
138074	4
565	4
1282	4
413497	4
747	4
291645	4
823	4
379893	4
1348	4
674529	4
566	4
1314	4
2579935	4
535744	4
208223	4
283686	4
2815358	4
2697371	4
28129	3
1639133	3
28133	3
1334193	3
1351	3
577	3
2488567	3
216937	3
2529381	3
67824	3
2478464	3
2497875	3
2742624	3
1486991	3
2919376	3
1158459	3
1305	3
1307	3
2576376	3
2986951	3
1851514	3
1302	3
1310	3
2873269	3
150055	3
2675713	3
257758	2
230089	2
929813	2
42906	2
82996	2
204039	2
1778540	2
3141543	2
1891675	2
162156	2
329854	2
291644	2
2993430	2
376805	2
2650157	2
2763068	2
580	2
2975349	2
3028083	2
51288	2
68892	2
2971264	2
2173853	2
2744574	2
2545798	2
158877	2
2891570	2
1574161	2
587	2
585	2
3031919	2
395631	2
1972431	2
2183582	2
2770322	2
186490	2
1620215	2
121719	2
1432792	2
2966554	2
34021	2
1510150	2
654	2
731	2
2980557	2
3139408	2
2681308	2
3072790	2
645	2
551989	2
2153385	2
3026145	2
2077149	2
2562449	2
2861802	2
885040	2
67827	2
1283	2
1290	2
1433513	2
2787706	2
255519	2
45972	2
53344	2
2071710	2
2675726	1
45634	1
1335	1
1340	1
1345	1
1326	1
29389	1
1352	1
1598	1
1623	1
155085	1
170573	1
1912064	1
70255	1
29385	1
33028	1
29388	1
2268449	1
399742	1
2836161	1
1166130	1
1560339	1
2831891	1
2831890	1
1914861	1
2497436	1
2066049	1
67826	1
67828	1
1439319	1
2781952	1
346	1
2371	1
2744479	1
485447	1
108981	1
48296	1
414	1
2742796	1
3022676	1
2518994	1
2923279	1
1972068	1
160699	1
1867715	1
290400	1
1208324	1
43057	1
33995	1
117207	1
3067902	1
1456591	1
32013	1
3065910	1
63612	1
636	1
97481	1
75985	1
85404	1
714	1
2774873	1
2842350	1
303	1
47878	1
521720	1
644	1
2778055	1
652	1
669	1
691	1
666	1
29494	1
38293	1
3111011	1
553982	1
37487	1
393765	1
2982531	1
2714952	1
28125	1
282402	1
589436	1
712471	1
2801997	1
165179	1
35703	1
1914243	1
2546350	1
2282309	1
2681307	1
2714951	1
2067958	1
497725	1
413501	1
413503	1
1715285	1
291112	1
628	1
351671	1
638	1
3066235	1
158849	1
615	1
614	1
1805933	1
65700	1
1922217	1
59814	1
9	1
53336	1
2259638	1
29471	1
2488639	1
2108399	1
1172565	1
3057057	1
46506	1
820	1
46503	1
387661	1
328813	1
373891	1
2759692	1
712623	1
2598453	1
1336	1
204	1
873	1
77133	1
1930593	1
1329841	1
134287	1
1199245	1
1778262	1
1070130	1
82977	1
3073902	1
1987921	1
2864218	1
2047724	1
401619	1
703	1
102862	1
588	1
1328	1
1338	1
2870346	1
3051183	1
29380	1
29378	1
2912228	1
28035	1
69218	1
1293	1
163877	1
633404	1
2921430	1
248315	1
1232428	1
69823	1
1734049	1
2714931	1
2962064	1
2857058	1
169765	1
156978	1
43768	1
545	1
1288	1
1811193	1
113107	1
102886	1
