taxon	reads
338188	446858
28132	410292
28116	378670
820	238242
2682456	160698
46503	100473
1318	90091
2682455	88124
423477	87801
371601	85028
821	77053
39777	72470
490	67508
729	66743
2650157	62042
29466	55791
39778	53561
1304	46395
28449	37711
2763022	36832
732	36372
817	35409
387090	29988
2847299	29732
3059030	29570
46124	27565
357276	26470
823	24396
488	22599
2663009	21980
2047	21646
1660	21039
199	21039
43675	20486
818	19741
556259	18629
2972761	18407
1305	17528
46125	17009
3098075	16930
114527	16670
712357	16113
1177574	15858
33025	15678
1303	15587
1017	13815
43768	13185
1280	12929
454154	12482
2490855	12473
674529	11915
2715212	10832
487	10742
84135	9767
61592	9734
2972775	9568
544580	9490
1302	9370
1019	9208
68892	9148
2650158	8596
3098076	8319
2792859	8142
712623	7970
1056807	7773
505	7518
2610896	7510
2972784	7458
495	7311
2899133	7228
39491	7221
47678	7058
1796613	6741
172042	6735
162156	6625
102148	5950
2759692	5908
1871109	5826
2975324	5811
28133	5348
46506	5331
853	5193
617123	5161
246787	5054
291644	5035
292800	4891
502	4834
3077590	4621
712116	4462
860	4386
712633	4348
2785531	4331
2755405	4219
28111	4178
28131	4114
76859	3914
3059028	3912
1750	3844
1655	3828
76857	3819
3077584	3645
291645	3624
39496	3528
512298	3518
484	3508
166486	3483
3117552	3219
329854	3105
2162637	3004
1313	2989
2528203	2983
2545799	2856
684066	2809
1308	2603
327575	2545
214851	2528
1852377	2375
9606	2373
1759399	2359
1839799	2352
28113	2311
28037	2290
28124	2237
1773	2236
1550024	2219
712435	2195
1379	2069
486	2054
485	2036
109328	1998
851	1995
78535	1932
45634	1886
2789425	1870
33038	1807
248315	1785
712624	1778
301301	1747
1156431	1667
3058373	1656
315405	1649
387661	1643
78331	1624
1583098	1600
28129	1589
47671	1535
554406	1497
2708117	1494
39485	1479
1338	1479
2954513	1453
539	1449
2685834	1422
2763672	1421
3077723	1391
461393	1379
76123	1369
33039	1342
208479	1307
2610895	1269
712710	1264
328812	1252
470565	1226
282402	1209
2572088	1208
1018	1203
28119	1199
1297617	1188
28135	1188
158	1187
727	1176
477666	1173
2951805	1156
28137	1119
2841264	1093
410072	1074
157687	1072
3118470	1060
2108523	1052
76860	1044
712471	1031
204	1014
1234680	995
3038077	980
1328	979
726	960
28125	949
483	946
655307	942
155615	916
1343	911
328813	904
1316596	902
649756	880
2954545	849
2937985	847
2576376	835
1217282	831
39488	820
165179	818
2382163	811
2109687	806
2975349	801
1902136	791
33053	758
712362	737
1307	728
739	720
2709390	707
2866570	703
114528	700
1496	700
1311	687
1314	673
52773	662
1261635	646
2718	640
2025876	640
216816	628
29391	619
2598453	611
837	604
88431	604
86332	596
2860051	596
657323	592
1334	588
39486	587
2763062	570
2929492	568
29347	568
3115151	548
157688	535
2929488	534
137732	527
2820817	518
712150	517
2929494	514
154046	489
203	471
33033	467
2093824	463
2929493	462
1472417	460
69710	444
285729	441
1288121	440
1656	438
714	436
1099853	420
1965590	413
712538	384
87883	382
157692	380
28128	376
1853278	376
45851	373
1796635	365
411483	360
28127	355
492	351
713030	351
824	336
2093857	331
2479767	325
267212	323
2929495	318
89014	317
116085	310
2929489	309
411486	301
1573823	299
290053	295
113107	292
2093856	292
2666100	283
1261634	279
2912188	278
1433513	274
2766701	273
2929491	271
169435	264
2993430	263
84112	263
157691	263
2819619	261
28118	260
562	259
1912897	258
712361	251
2801997	248
28251	248
53442	245
2714355	243
1522	240
2929490	240
1705617	229
1531	229
3003601	227
2866573	226
1243007	221
2518605	215
589437	214
2836367	212
2913621	211
58231	208
831	207
2748316	201
