taxon	reads
729	5598921
43675	397160
28037	361389
29466	305749
1660	183179
1313	173121
727	170607
1379	144493
1303	126652
726	123082
2972784	103987
1318	95759
712623	94068
2759692	91078
2663009	86134
1759399	77830
1156431	60686
490	51914
2819619	47759
732	44685
712435	42672
46124	42576
712633	42152
3077584	36436
423477	34069
2382163	33502
1433513	32947
2598453	32916
78535	32463
68892	29283
2993430	29060
712150	28801
1234680	28192
2610896	26249
9606	24079
3098076	22049
28449	21900
2490855	19781
3098075	19543
249188	17918
257758	17528
28132	17181
739	16955
47671	15712
1852377	15592
3059030	14466
2820817	14027
684066	14014
2576376	13580
747	13452
712310	12519
3038077	12352
3059028	10898
1902136	10827
1304	10728
718	10152
495	10017
1302	9690
2975349	9376
1305	8851
544580	8209
488	7784
714	7456
84135	7330
1307	6827
1796644	6757
1311	6703
76859	6276
712624	5732
1328	5709
76857	5681
2972775	5445
2866570	5179
1017	5097
172042	5011
45634	4947
39778	4704
837	4498
1871109	4402
76860	4294
28901	4251
860	4164
487	3860
617123	3809
2682456	3736
2490633	3547
113107	3493
1308	3445
712116	3375
735	3221
2844383	3091
851	2991
562	2990
712357	2937
46125	2850
712710	2640
2047	2551
1314	2370
2682455	2361
484	2341
3077590	2309
1177574	2287
1334	2280
539	2257
1056807	2154
315405	2137
1583098	2075
1338	2060
2789425	1981
29391	1858
715	1832
1655	1778
2545799	1743
485	1676
52773	1609
39777	1509
197575	1496
327575	1429
28133	1414
102148	1386
28129	1293
28124	1228
46503	1221
1343	1203
75985	1148
1019	1145
2975324	1140
483	1118
3077723	1082
155615	1065
137732	1051
28135	1040
730	1014
1501662	948
738	941
486	901
1656	892
248315	886
28131	871
12402	869
750	858
33033	832
2763068	831
36874	812
199	807
328813	806
82348	799
28188	796
728	796
2937985	788
393921	770
254839	769
573	750
2420308	737
1747	731
322095	731
753	711
2718	691
818	690
1335	683
165179	675
2781599	672
33053	623
28137	621
85402	620
1288	601
716	600
505	577
285729	567
1310	555
2420310	552
1309	536
111844	532
2133944	527
33040	517
400065	509
1888195	498
2021971	496
470565	495
867595	492
47678	488
505341	482
2778911	480
1965590	476
820	466
1585976	446
1018	432
72	431
34085	414
1329	409
28125	405
204	404
454154	402
361101	392
712471	392
550	392
2954513	389
3068634	381
221402	378
538949	372
3028082	371
823	357
817	357
1750	353
2664091	352
109472	348
339	345
1839799	340
1351	336
149016	334
712361	333
2954545	333
1814128	331
3020829	329
2094151	329
230709	327
1316596	317
214856	316
762	315
76123	309
47735	306
2043170	303
29389	302
162156	296
2770636	295
2030797	295
2708117	291
632	289
2913616	288
470	285
61592	280
1243007	277
2173853	276
28119	276
2530390	275
3028083	275
2585118	257
43768	256
3028084	255
2518971	253
2686210	252
387090	251
131111	248
2420309	248
103810	247
2792859	244
28127	240
1735111	237
821	237
2913614	234
157687	232
674529	230
2497989	230
2487072	230
1448274	228
536441	223
357276	222
1358	216
502	215
2794089	210
2528037	208
3003351	207
1642646	205
28113	205
2937774	204
299767	203
615	203
839	203
371601	202
2691580	201
1336	198
2932252	197
731	195
282402	193
138074	191
2364787	191
1296	182
2911527	159
83655	155
1962264	146
1280	137
623	134
2883106	122
1352	122
496	117
2936786	115
666	111
587753	110
582	109
54736	106
38293	105
1811193	103
1345	100
1346	94
2598457	93
1396	93
641148	93
158836	92
1341	92
1392	91
197614	87
102886	85
1349	83
1124597	83
670	83
645	83
287	82
1326	82
1348	82
254785	78
1340	76
1701828	75
1496	73
2972761	67
157339	64
1319	62
1111760	61
97481	60
157673	56
2785630	55
669	54
61645	54
85404	54
1363	54
1463165	53
2745895	53
9	52
51161	52
1853278	52
1825069	51
671211	50
2827233	45
1428	44
1443036	43
33038	43
1917441	43
44935	42
511	41
655307	41
492	40
2971264	40
553611	40
1486991	39
706438	39
1032623	38
1639	38
2709396	37
57706	37
565	36
859	36
150055	36
3066235	36
208224	35
584	35
881260	34
244366	34
856	34
52443	33
2912188	32
564	31
754	31
654	31
29394	30
1406	29
216816	29
1853276	29
186490	29
181487	29
1390	27
588	26
102684	26
2040624	26
720	25
492670	25
1639133	25
2911526	25
548	25
1423	24
2937790	24
189834	24
1940319	24
208962	24
267212	24
263	23
663	23
303	23
2049935	22
2840371	22
82996	22
2666100	22
114186	21
48296	21
