taxon	reads
573	92788
9606	49177
28132	10528
1177574	6695
470565	5720
562	4385
821	3640
1463165	2712
39777	2639
2682456	2361
28116	2260
729	2147
244366	2029
1304	1904
2682455	1403
1280	1316
43675	1177
423477	1016
1318	936
199	923
39778	909
2847299	755
46124	734
1313	728
2954513	725
29466	690
371601	625
28037	598
735	572
28901	571
28131	389
2489010	368
2420310	331
2026240	321
1308	303
1773	303
1134687	298
712633	298
3077584	287
1303	254
114527	250
78331	249
548	244
2829835	216
3098076	210
1660	210
2986524	209
726	201
