taxon	SRS013506	SRS013506_filtered	SRS014475	SRS014475_filtered	SRS014689	SRS014689_filtered	SRS019352	SRS019352_filtered	SRS050029	SRS050029_filtered	SRS054569	SRS054569_filtered	SRS056042	SRS056042_filtered	SRS065335	SRS065335_filtered	SRS097885	SRS097885_filtered	SRS098585	SRS098585_filtered	SRS1041031	SRS1041031_filtered	SRS1041129	SRS1041129_filtered	SRS104912	SRS104912_filtered	SRS105082	SRS105082_filtered	SRS142957	SRS142957_filtered	SRS143032	SRS143032_filtered	SRS143776	SRS143776_filtered	SRS144378	SRS144378_filtered	SRS146847	SRS146847_filtered	SRS147088	SRS147088_filtered	camisim_SRS013506_filtered	camisim_SRS014475_filtered	camisim_SRS014689_filtered	camisim_SRS019352_filtered	camisim_SRS050029_filtered	camisim_SRS054569_filtered	camisim_SRS056042_filtered	camisim_SRS065335_filtered	camisim_SRS097885_filtered	camisim_SRS098585_filtered	camisim_SRS1041031_filtered	camisim_SRS1041129_filtered	camisim_SRS104912_filtered	camisim_SRS105082_filtered	camisim_SRS142957_filtered	camisim_SRS143032_filtered	camisim_SRS143776_filtered	camisim_SRS144378_filtered	camisim_SRS146847_filtered	camisim_SRS147088_filtered	mess_SRS013506_filtered	mess_SRS014475_filtered	mess_SRS014689_filtered	mess_SRS019352_filtered	mess_SRS050029_filtered	mess_SRS054569_filtered	mess_SRS056042_filtered	mess_SRS065335_filtered	mess_SRS097885_filtered	mess_SRS098585_filtered	mess_SRS1041031_filtered	mess_SRS1041129_filtered	mess_SRS104912_filtered	mess_SRS105082_filtered	mess_SRS142957_filtered	mess_SRS143032_filtered	mess_SRS143776_filtered	mess_SRS144378_filtered	mess_SRS146847_filtered	mess_SRS147088_filtered
28037	1255322	1255322	5066	5066	40969	40969	109205	109205	345905	345905	2276719	2276719	77486	77486	4813	4813	53	0	10794	10794	31	0	726	726	323	323	68	0	20	0	585	585	1	0	16121	16121	6219	6219	1886	1886	1240529	5197	43148	113045	360474	2251610	78854	5056	0	10812	0	701	350	0	0	625	0	15947	6238	2290	1240997	5223	43126	113598	361389	2249536	78146	5119	0	10763	0	743	327	0	0	598	0	16258	6120	2112
1313	730667	730667	2479	2479	20799	20799	43638	43638	128664	128664	1368389	1368389	26372	26372	3613	3613	33	0	2756	2756	119	0	396	396	463	463	307	307	24	0	683	683	4	0	12255	12255	7156	7156	1769	1769	856139	4453	30678	60903	179116	1609499	34478	4902	0	3273	0	607	593	296	0	811	0	14288	9009	2989	854245	3524	31613	59824	173121	1611333	37289	5157	0	3587	0	616	604	267	0	728	0	16256	8381	2790
735	443034	443034	284	284	13	0	1091	1091	3046	3046	167394	167394	596	596	1531	1531	0	0	66	0	5	0	1	0	45	0	5	0	0	0	579	579	0	0	858	858	0	0	102	0	438694	287	0	1089	3222	165820	595	1530	0	0	0	0	0	0	0	565	0	844	0	0	439403	290	0	1104	3221	166025	598	1524	0	0	0	0	0	0	0	572	0	853	0	0
729	309802	309802	17440	17440	40096	40096	247410	247410	5640030	5640030	741232	741232	93174	93174	163220	163220	277	277	12653	12653	78	0	302	302	46764	46764	4557	4557	29	0	2192	2192	1	0	4025	4025	8	0	66933	66933	308716	17520	39891	245886	5597395	736187	92498	161889	277	12532	0	300	46481	4524	0	2134	0	4049	0	66743	309368	17628	39815	245755	5598921	736173	92577	162375	276	12610	0	301	46472	4523	0	2147	0	4118	0	66828
1303	274999	274999	3015	3015	42790	42790	148081	148081	137716	137716	522068	522068	47590	47590	5429	5429	936	936	2861	2861	48	0	215	215	319	319	128	0	12	0	292	292	3	0	4149	4149	4825	4825	16996	16996	239356	2563	39567	131196	126413	452935	41976	4934	747	2413	0	0	277	0	0	265	0	3698	4118	15587	238987	2745	39890	132022	126652	454195	41037	4852	872	2523	0	0	265	0	0	254	0	3633	4030	15625
726	262116	262116	778	778	1260	1260	59665	59665	119921	119921	194562	194562	3207	3207	2604	2604	2	0	3191	3191	4	0	10	0	298	298	25	0	1	0	216	216	0	0	3692	3692	3	0	907	907	258336	1391	1295	59165	122978	191515	3262	2746	0	3184	0	0	338	0	0	218	0	3810	0	960	259013	1359	1313	58789	123082	191868	3278	2736	0	3173	0	0	334	0	0	201	0	3805	0	952
2993430	202600	202600	597	597	3217	3217	8532	8532	30095	30095	358332	358332	4604	4604	648	648	1	0	578	578	11	0	70	0	46	0	24	0	0	0	75	0	0	0	6422	6422	1075	1075	244	244	181705	542	3165	8257	28895	321401	4386	618	0	544	0	0	0	0	0	0	0	5683	984	263	181008	568	3187	8309	29060	321507	4266	621	0	532	0	0	0	0	0	0	0	5811	969	231
1379	195527	195527	2172	2172	10541	10541	18493	18493	146281	146281	625447	625447	13488	13488	2008	2008	1	0	1790	1790	114	0	121	0	73	0	28	0	0	0	38	0	2	0	68105	68105	595	595	2100	2100	192821	2133	10384	18235	144524	617572	13291	1979	0	1753	0	0	0	0	0	0	0	66576	586	2069	193080	2147	10415	18275	144493	617948	13310	1977	0	1771	0	0	0	0	0	0	0	67249	599	2083
727	179439	179439	104834	104834	822	822	30537	30537	151317	151317	88663	88663	2785	2785	2469	2469	2	0	1877	1877	25	0	10	0	608	608	66	0	1	0	125	0	0	0	35728	35728	8	0	1060	1060	191037	103096	910	32967	171583	97285	3096	2858	0	1932	0	0	688	0	0	0	0	35075	0	1176	190037	103621	973	34234	170607	96155	3111	2859	0	1912	0	0	725	0	0	0	0	35542	0	1206
2819619	165540	165540	683	683	5253	5253	14622	14622	51966	51966	268097	268097	11695	11695	652	652	10	0	1056	1056	13	0	91	0	37	0	15	0	3	0	76	0	0	0	2303	2303	783	783	259	259	139069	609	4897	13321	47476	225917	10407	613	0	888	0	0	0	0	0	0	0	1936	684	261	139153	607	4878	13451	47759	225862	10281	628	0	900	0	0	0	0	0	0	0	2037	653	264
712310	161507	161507	232	232	1040	1040	34303	34303	12167	12167	44708	44708	828	828	1198	1198	1	0	743	743	3	0	33	0	152	0	7	0	0	0	125	0	0	0	340	340	1	0	197	0	152644	312	1017	32855	12364	42443	817	1204	0	706	0	0	0	0	0	0	0	359	0	0	153733	339	1034	32507	12519	43057	828	1206	0	717	0	0	0	0	0	0	0	363	0	0
